,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,II_00,II_01,II_10,II_11,IX_00,IX_01,IX_10,IX_11,IY_00,IY_01,IY_10,IY_11,IZ_00,IZ_01,IZ_10,IZ_11,XI_00,XI_01,XI_10,XI_11,XX_00,XX_01,XX_10,XX_11,XY_00,XY_01,XY_10,XY_11,XZ_00,XZ_01,XZ_10,XZ_11,YI_00,YI_01,YI_10,YI_11,YX_00,YX_01,YX_10,YX_11,YY_00,YY_01,YY_10,YY_11,YZ_00,YZ_01,YZ_10,YZ_11,ZI_00,ZI_01,ZI_10,ZI_11,ZX_00,ZX_01,ZX_10,ZX_11,ZY_00,ZY_01,ZY_10,ZY_11,ZZ_00,ZZ_01,ZZ_10,ZZ_11
0,(0.06422246618700551+0j),(-0.09393763855128823+0.12896172080784257j),(0.12507372572882272-0.014571898224158608j),(0.1319363409670303+0.037142435303027015j),(-0.09393763855128823-0.12896172080784257j),(0.39636293779485754+0j),(-0.21220529698311158-0.22983971288907915j),(-0.11839837971539335-0.3192622682988386j),(0.12507372572882272+0.014571898224158608j),(-0.21220529698311158+0.22983971288907915j),(0.24688832470828084+0j),(0.24851948055478226+0.10227115351667634j),(0.1319363409670303-0.037142435303027015j),(-0.11839837971539335+0.3192622682988386j),(0.24851948055478226-0.10227115351667634j),(0.292526271309856+0j),(111+0j),(372+0j),(241+0j),(276+0j),(273+0j),(209+0j),(73+0j),(445+0j),(200+0j),(596+0j),(149+0j),(55+0j),(119+0j),(341+0j),(255+0j),(285+0j),(192+0j),(294+0j),(482+0j),(32+0j),(318+0j),(202+0j),(353+0j),(127+0j),(574+0j),(255+0j),(80+0j),(91+0j),(192+0j),(303+0j),(463+0j),(42+0j),(148+0j),(324+0j),(219+0j),(309+0j),(67+0j),(477+0j),(239+0j),(217+0j),(198+0j),(613+0j),(146+0j),(43+0j),(133+0j),(346+0j),(189+0j),(332+0j),(101+0j),(372+0j),(242+0j),(285+0j),(311+0j),(217+0j),(72+0j),(400+0j),(228+0j),(602+0j),(137+0j),(33+0j),(125+0j),(392+0j),(247+0j),(236+0j)
1,(0.3011407407304155+0j),(0.1498583610603168+0.05215076433607871j),(0.2992353071685433-0.03203487843015294j),(-0.047070319109290534-0.304128504038824j),(0.1498583610603168-0.05215076433607871j),(0.08360619203982242+0j),(0.14336243313806818-0.0677624831299653j),(-0.07609204507745597-0.1431936640100592j),(0.2992353071685433+0.03203487843015294j),(0.14336243313806818+0.0677624831299653j),(0.3007497500092974+0j),(-0.014419775061419698-0.30721143227153414j),(-0.047070319109290534+0.304128504038824j),(-0.07609204507745597+0.1431936640100592j),(-0.014419775061419698+0.30721143227153414j),(0.3145033172204641+0j),(307+0j),(85+0j),(348+0j),(260+0j),(579+0j),(142+0j),(30+0j),(249+0j),(335+0j),(337+0j),(264+0j),(64+0j),(318+0j),(105+0j),(299+0j),(278+0j),(351+0j),(66+0j),(271+0j),(312+0j),(447+0j),(259+0j),(178+0j),(116+0j),(572+0j),(112+0j),(81+0j),(235+0j),(351+0j),(66+0j),(291+0j),(292+0j),(154+0j),(252+0j),(570+0j),(24+0j),(599+0j),(128+0j),(161+0j),(112+0j),(566+0j),(108+0j),(190+0j),(136+0j),(180+0j),(247+0j),(549+0j),(24+0j),(318+0j),(93+0j),(298+0j),(291+0j),(566+0j),(149+0j),(28+0j),(257+0j),(382+0j),(301+0j),(257+0j),(60+0j),(307+0j),(107+0j),(300+0j),(286+0j)
2,(0.2512269371704684+0j),(-0.2659820831612431+0.22625848109984034j),(-0.011923509143130867+0.07038260618040292j),(0.22822552699449872+0.09481467124376954j),(-0.2659820831612431-0.22625848109984034j),(0.485375374972868+0j),(0.07601136082692732-0.06377786284598928j),(-0.1562383319283138-0.30592644930229485j),(-0.011923509143130867-0.07038260618040292j),(0.07601136082692732+0.06377786284598928j),(0.020283976632546528+0j),(0.015731014169783064-0.06843864427873879j),(0.22822552699449872-0.09481467124376954j),(-0.1562383319283138+0.30592644930229485j),(0.015731014169783064+0.06843864427873879j),(0.24311371122411743+0j),(279+0j),(472+0j),(43+0j),(206+0j),(149+0j),(217+0j),(170+0j),(464+0j),(128+0j),(596+0j),(207+0j),(69+0j),(314+0j),(443+0j),(37+0j),(206+0j),(156+0j),(563+0j),(157+0j),(124+0j),(188+0j),(145+0j),(120+0j),(547+0j),(272+0j),(473+0j),(60+0j),(195+0j),(178+0j),(591+0j),(123+0j),(108+0j),(211+0j),(548+0j),(172+0j),(69+0j),(52+0j),(289+0j),(347+0j),(312+0j),(226+0j),(509+0j),(155+0j),(110+0j),(187+0j),(543+0j),(205+0j),(65+0j),(291+0j),(428+0j),(44+0j),(237+0j),(148+0j),(205+0j),(180+0j),(467+0j),(142+0j),(589+0j),(207+0j),(62+0j),(289+0j),(433+0j),(38+0j),(240+0j)
3,(0.2889358743549533+0j),(0.012518080268793974-0.19481772394168526j),(-0.025455493529732587+0.22434374675513608j),(0.2739258295195532+0.20329246919969005j),(0.012518080268793974+0.19481772394168526j),(0.13190002100125614+0j),(-0.1523687293346918-0.007443964119698608j),(-0.1252040810200862+0.19350465984239593j),(-0.025455493529732587-0.22434374675513608j),(-0.1523687293346918+0.007443964119698608j),(0.17643395432561992+0j),(0.13371298089117892-0.2305994615951678j),(0.2739258295195532-0.20329246919969005j),(-0.1252040810200862-0.19350465984239593j),(0.13371298089117892+0.2305994615951678j),(0.40273015031817+0j),(317+0j),(132+0j),(183+0j),(368+0j),(226+0j),(161+0j),(266+0j),(347+0j),(37+0j),(88+0j),(448+0j),(427+0j),(319+0j),(172+0j),(197+0j),(312+0j),(251+0j),(209+0j),(394+0j),(146+0j),(344+0j),(64+0j),(327+0j),(265+0j),(60+0j),(84+0j),(564+0j),(292+0j),(243+0j),(191+0j),(422+0j),(144+0j),(415+0j),(37+0j),(482+0j),(66+0j),(286+0j),(94+0j),(588+0j),(32+0j),(83+0j),(47+0j),(818+0j),(52+0j),(430+0j),(35+0j),(473+0j),(62+0j),(280+0j),(153+0j),(219+0j),(348+0j),(216+0j),(146+0j),(277+0j),(361+0j),(48+0j),(97+0j),(466+0j),(389+0j),(310+0j),(141+0j),(203+0j),(346+0j)
4,(0.23277890764457126+0j),(-0.18193001628795002+0.19658746927518905j),(0.005375488211219639+0.01989619183360669j),(-0.32616093050521755+0.006482051125715621j),(-0.18193001628795002-0.19658746927518905j),(0.30821161860637486+0j),(0.01260156846959051-0.02008974170056248j),(0.2603876529843212+0.270384773579586j),(0.005375488211219639-0.01989619183360669j),(0.01260156846959051+0.02008974170056248j),(0.0018247113850933345+0j),(-0.006977892115117597+0.02802747335395201j),(-0.32616093050521755-0.006482051125715621j),(0.2603876529843212-0.270384773579586j),(-0.006977892115117597-0.02802747335395201j),(0.45718476236396105+0j),(281+0j),(313+0j),(35+0j),(371+0j),(182+0j),(595+0j),(114+0j),(109+0j),(102+0j),(147+0j),(192+0j),(559+0j),(242+0j),(288+0j),(43+0j),(427+0j),(139+0j),(426+0j),(218+0j),(217+0j),(192+0j),(543+0j),(196+0j),(69+0j),(47+0j),(171+0j),(327+0j),(455+0j),(145+0j),(436+0j),(223+0j),(196+0j),(140+0j),(411+0j),(213+0j),(236+0j),(289+0j),(480+0j),(47+0j),(184+0j),(184+0j),(63+0j),(154+0j),(599+0j),(113+0j),(437+0j),(195+0j),(255+0j),(269+0j),(305+0j),(28+0j),(398+0j),(180+0j),(580+0j),(115+0j),(125+0j),(135+0j),(142+0j),(182+0j),(541+0j),(223+0j),(326+0j),(43+0j),(408+0j)
5,(0.23784300024145164+0j),(0.28811621514911306+0.03602943282004065j),(-0.23384880019874776+0.15614779859031483j),(0.12001101512500914+0.05911509034148546j),(0.28811621514911306-0.03602943282004065j),(0.35447363754912103+0j),(-0.25962384660650417+0.2245773569804066j),(0.15433291117613657+0.053430570869751816j),(-0.23384880019874776-0.15614779859031483j),(-0.25962384660650417-0.2245773569804066j),(0.3324352462705581+0j),(-0.07918559998909838-0.13691152876182439j),(0.12001101512500914-0.05911509034148546j),(0.15433291117613657-0.053430570869751816j),(-0.07918559998909838+0.13691152876182439j),(0.07524811593886882+0j),(283+0j),(323+0j),(316+0j),(78+0j),(106+0j),(359+0j),(467+0j),(68+0j),(157+0j),(186+0j),(406+0j),(251+0j),(270+0j),(342+0j),(300+0j),(88+0j),(579+0j),(44+0j),(130+0j),(247+0j),(279+0j),(175+0j),(432+0j),(114+0j),(148+0j),(181+0j),(562+0j),(109+0j),(583+0j),(47+0j),(122+0j),(248+0j),(276+0j),(313+0j),(349+0j),(62+0j),(351+0j),(97+0j),(279+0j),(273+0j),(47+0j),(252+0j),(573+0j),(128+0j),(316+0j),(314+0j),(296+0j),(74+0j),(264+0j),(340+0j),(324+0j),(72+0j),(107+0j),(336+0j),(489+0j),(68+0j),(164+0j),(159+0j),(434+0j),(243+0j),(265+0j),(320+0j),(354+0j),(61+0j)
6,(0.2838381456602848+0j),(0.00240619413101395-0.14737369337710526j),(0.14332041613065527+0.2592733153603042j),(-0.25382751858161745-0.17134017197237j),(0.00240619413101395+0.14737369337710526j),(0.0765393785224582+0j),(-0.1334042302402383+0.07661239802945025j),(0.08681100852253539-0.13324416463596364j),(0.14332041613065527-0.2592733153603042j),(-0.1334042302402383-0.07661239802945025j),(0.30920225163403026+0j),(-0.2846784382777066+0.1453439509668042j),(-0.25382751858161745+0.17134017197237j),(0.08681100852253539+0.13324416463596364j),(-0.2846784382777066-0.1453439509668042j),(0.3304202241832267+0j),(323+0j),(89+0j),(290+0j),(298+0j),(426+0j),(284+0j),(188+0j),(102+0j),(106+0j),(299+0j),(522+0j),(73+0j),(290+0j),(101+0j),(305+0j),(304+0j),(208+0j),(196+0j),(98+0j),(498+0j),(84+0j),(648+0j),(179+0j),(89+0j),(116+0j),(294+0j),(154+0j),(436+0j),(179+0j),(208+0j),(94+0j),(519+0j),(344+0j),(63+0j),(192+0j),(401+0j),(492+0j),(225+0j),(44+0j),(239+0j),(269+0j),(157+0j),(236+0j),(338+0j),(333+0j),(70+0j),(191+0j),(406+0j),(322+0j),(103+0j),(279+0j),(296+0j),(456+0j),(264+0j),(149+0j),(131+0j),(88+0j),(305+0j),(525+0j),(82+0j),(289+0j),(80+0j),(323+0j),(308+0j)
7,(0.40733918300102634+0j),(0.22062140220315293-0.09402063027553084j),(-0.15063807943073632+0.3633959787510852j),(-0.16973798511816954+0.018461826198219282j),(0.22062140220315293+0.09402063027553084j),(0.14119359106032414+0j),(-0.16546579873412176+0.16205129771498553j),(-0.09619409684681288-0.029179118669261397j),(-0.15063807943073632-0.3633959787510852j),(-0.16546579873412176-0.16205129771498553j),(0.3799007677261681+0j),(0.07924098351568834+0.1445995122738343j),(-0.16973798511816954-0.018461826198219282j),(-0.09619409684681288+0.029179118669261397j),(0.07924098351568834-0.1445995122738343j),(0.07156645821248124+0j),(434+0j),(136+0j),(346+0j),(84+0j),(274+0j),(39+0j),(500+0j),(187+0j),(81+0j),(121+0j),(708+0j),(90+0j),(426+0j),(159+0j),(350+0j),(65+0j),(468+0j),(77+0j),(326+0j),(129+0j),(165+0j),(148+0j),(627+0j),(60+0j),(175+0j),(44+0j),(613+0j),(168+0j),(516+0j),(82+0j),(270+0j),(132+0j),(365+0j),(187+0j),(115+0j),(333+0j),(197+0j),(99+0j),(297+0j),(407+0j),(83+0j),(119+0j),(393+0j),(405+0j),(360+0j),(180+0j),(98+0j),(362+0j),(432+0j),(130+0j),(362+0j),(76+0j),(263+0j),(25+0j),(526+0j),(186+0j),(74+0j),(120+0j),(716+0j),(90+0j),(419+0j),(144+0j),(352+0j),(85+0j)
8,(0.5470834178903543+0j),(-0.13913698415388098+0.01225035438217019j),(-0.21821904673801368+0.32466556884218456j),(0.06629484013623303-0.26617980847216927j),(-0.13913698415388098-0.01225035438217019j),(0.035660323277859035+0j),(0.06276850512941329-0.0776841813552161j),(-0.022820763153131404+0.0662116951886064j),(-0.21821904673801368-0.32466556884218456j),(0.06276850512941329+0.0776841813552161j),(0.2797147179875523+0j),(-0.18440737271681998+0.06683048852506024j),(0.06629484013623303+0.26617980847216927j),(-0.022820763153131404-0.0662116951886064j),(-0.18440737271681998-0.06683048852506024j),(0.1375415408442342+0j),(545+0j),(54+0j),(266+0j),(135+0j),(208+0j),(79+0j),(608+0j),(105+0j),(117+0j),(34+0j),(676+0j),(173+0j),(547+0j),(50+0j),(261+0j),(142+0j),(182+0j),(436+0j),(47+0j),(335+0j),(69+0j),(245+0j),(186+0j),(500+0j),(88+0j),(83+0j),(152+0j),(677+0j),(192+0j),(416+0j),(54+0j),(338+0j),(294+0j),(296+0j),(148+0j),(262+0j),(232+0j),(92+0j),(227+0j),(449+0j),(40+0j),(120+0j),(416+0j),(424+0j),(310+0j),(289+0j),(155+0j),(246+0j),(543+0j),(65+0j),(263+0j),(129+0j),(222+0j),(67+0j),(589+0j),(122+0j),(111+0j),(38+0j),(687+0j),(164+0j),(518+0j),(50+0j),(280+0j),(152+0j)
9,(0.12491117939846078+0j),(-0.030695901131083943-0.007659733393018523j),(0.14372686979059068+0.2028130233927369j),(0.003549676630392601-0.21564862864428397j),(-0.030695901131083943+0.007659733393018523j),(0.00801297263160528+0j),(-0.047756489863597026-0.04102610378694257j),(0.01235158043116223+0.053211558745565074j),(0.14372686979059068-0.2028130233927369j),(-0.047756489863597026+0.04102610378694257j),(0.49467578366541043+0j),(-0.3460552263068482-0.25389579357012876j),(0.003549676630392601+0.21564862864428397j),(0.01235158043116223-0.053211558745565074j),(-0.3460552263068482+0.25389579357012876j),(0.37240006430452344+0j),(161+0j),(27+0j),(482+0j),(330+0j),(440+0j),(213+0j),(169+0j),(178+0j),(142+0j),(132+0j),(506+0j),(220+0j),(167+0j),(45+0j),(453+0j),(335+0j),(48+0j),(119+0j),(145+0j),(688+0j),(166+0j),(492+0j),(39+0j),(303+0j),(64+0j),(198+0j),(106+0j),(632+0j),(58+0j),(135+0j),(125+0j),(682+0j),(111+0j),(77+0j),(631+0j),(181+0j),(559+0j),(119+0j),(197+0j),(125+0j),(257+0j),(38+0j),(511+0j),(194+0j),(102+0j),(77+0j),(652+0j),(169+0j),(148+0j),(34+0j),(477+0j),(341+0j),(474+0j),(200+0j),(161+0j),(165+0j),(150+0j),(140+0j),(488+0j),(222+0j),(151+0j),(30+0j),(504+0j),(315+0j)
10,(0.0425774067138587+0j),(0.04433752411899506+0.17031271746962326j),(0.02248427219493169-0.0678770199790488j),(-0.05555781466355807+0.039910277710496406j),(0.04433752411899506-0.17031271746962326j),(0.7274336359900685+0j),(-0.24809925218373025-0.16062172490336488j),(0.10178947565604422+0.2637954295359497j),(0.02248427219493169+0.0678770199790488j),(-0.24809925218373025+0.16062172490336488j),(0.12008322563496503+0j),(-0.09296404009705449-0.06749460735844012j),(-0.05555781466355807-0.039910277710496406j),(0.10178947565604422-0.2637954295359497j),(-0.09296404009705449+0.06749460735844012j),(0.10990573166110804+0j),(104+0j),(658+0j),(134+0j),(104+0j),(135+0j),(486+0j),(82+0j),(297+0j),(172+0j),(164+0j),(69+0j),(595+0j),(89+0j),(686+0j),(128+0j),(97+0j),(447+0j),(319+0j),(51+0j),(183+0j),(176+0j),(447+0j),(314+0j),(63+0j),(186+0j),(139+0j),(292+0j),(383+0j),(454+0j),(313+0j),(45+0j),(188+0j),(242+0j),(503+0j),(191+0j),(64+0j),(192+0j),(456+0j),(201+0j),(151+0j),(65+0j),(272+0j),(365+0j),(298+0j),(260+0j),(520+0j),(166+0j),(54+0j),(98+0j),(679+0j),(119+0j),(104+0j),(139+0j),(500+0j),(84+0j),(277+0j),(183+0j),(171+0j),(53+0j),(593+0j),(105+0j),(641+0j),(134+0j),(120+0j)
11,(0.17574560801833503+0j),(-0.2640662810612333+0.0337023079271099j),(-0.08059460540789276+0.2073041108324721j),(0.11641658621980971-0.10473269113083328j),(-0.2640662810612333-0.0337023079271099j),(0.40323537613372773+0j),(0.16085150018965072-0.29602902726359015j),(-0.19500588816911074+0.1350410111720972j),(-0.08059460540789276-0.2073041108324721j),(0.16085150018965072+0.29602902726359015j),(0.2814891669084254+0j),(-0.17692656214797056-0.0892923991353234j),(0.11641658621980971+0.10473269113083328j),(-0.19500588816911074-0.1350410111720972j),(-0.17692656214797056+0.0892923991353234j),(0.13952984893951167+0j),(207+0j),(380+0j),(274+0j),(139+0j),(155+0j),(92+0j),(323+0j),(430+0j),(55+0j),(163+0j),(440+0j),(342+0j),(229+0j),(394+0j),(252+0j),(125+0j),(78+0j),(506+0j),(63+0j),(353+0j),(54+0j),(209+0j),(100+0j),(637+0j),(75+0j),(123+0j),(62+0j),(740+0j),(81+0j),(517+0j),(55+0j),(347+0j),(299+0j),(284+0j),(277+0j),(140+0j),(88+0j),(186+0j),(481+0j),(245+0j),(146+0j),(74+0j),(431+0j),(349+0j),(298+0j),(305+0j),(287+0j),(110+0j),(245+0j),(347+0j),(268+0j),(140+0j),(184+0j),(84+0j),(320+0j),(412+0j),(54+0j),(148+0j),(445+0j),(353+0j),(222+0j),(372+0j),(266+0j),(140+0j)
12,(0.08572611614888993+0j),(0.17589189339405675-0.03326759638601463j),(-0.13721205119922997+0.05144776357084682j),(-0.04403893505973689-0.1513902601091972j),(0.17589189339405675+0.03326759638601463j),(0.37380313690396844+0j),(-0.30149541442497196+0.05231228951261589j),(-0.03160882263605937-0.3277109738655348j),(-0.13721205119922997-0.05144776357084682j),(-0.30149541442497196-0.05231228951261589j),(0.2504956521469557+0j),(-0.02036739531997807+0.26874275745818266j),(-0.04403893505973689+0.1513902601091972j),(-0.03160882263605937+0.3277109738655348j),(-0.02036739531997807-0.26874275745818266j),(0.2899750948001859+0j),(139+0j),(311+0j),(269+0j),(281+0j),(72+0j),(297+0j),(303+0j),(328+0j),(158+0j),(608+0j),(215+0j),(19+0j),(124+0j),(337+0j),(265+0j),(274+0j),(416+0j),(72+0j),(244+0j),(268+0j),(114+0j),(243+0j),(534+0j),(109+0j),(534+0j),(253+0j),(134+0j),(79+0j),(407+0j),(80+0j),(266+0j),(247+0j),(268+0j),(198+0j),(55+0j),(479+0j),(159+0j),(189+0j),(144+0j),(508+0j),(200+0j),(574+0j),(125+0j),(101+0j),(279+0j),(217+0j),(33+0j),(471+0j),(150+0j),(345+0j),(231+0j),(274+0j),(69+0j),(280+0j),(302+0j),(349+0j),(171+0j),(585+0j),(221+0j),(23+0j),(108+0j),(383+0j),(234+0j),(275+0j)
13,(0.0731511590521541+0j),(-0.09920710396077952-0.10914762256570862j),(-0.10000752311171486-0.18352185707768848j),(-0.01058178342586446-0.04744537015129718j),(-0.09920710396077952+0.10914762256570862j),(0.29740134360031945+0j),(0.4094594196343825+0.09967153852824728j),(0.08514338696593632+0.04855618573434599j),(-0.10000752311171486+0.18352185707768848j),(0.4094594196343825-0.09967153852824728j),(0.5971440134398991+0j),(0.13349782172921185+0.03831662331478303j),(-0.01058178342586446+0.04744537015129718j),(0.08514338696593632-0.04855618573434599j),(0.13349782172921185-0.03831662331478303j),(0.0323034839076267+0j),(121+0j),(284+0j),(549+0j),(46+0j),(249+0j),(255+0j),(398+0j),(98+0j),(495+0j),(145+0j),(170+0j),(190+0j),(125+0j),(286+0j),(541+0j),(48+0j),(122+0j),(279+0j),(440+0j),(159+0j),(452+0j),(58+0j),(111+0j),(379+0j),(317+0j),(327+0j),(213+0j),(143+0j),(121+0j),(289+0j),(405+0j),(185+0j),(320+0j),(92+0j),(273+0j),(315+0j),(337+0j),(143+0j),(235+0j),(285+0j),(537+0j),(95+0j),(47+0j),(321+0j),(326+0j),(101+0j),(287+0j),(286+0j),(117+0j),(298+0j),(546+0j),(39+0j),(253+0j),(255+0j),(421+0j),(71+0j),(531+0j),(118+0j),(158+0j),(193+0j),(127+0j),(288+0j),(536+0j),(49+0j)
14,(0.21412345314503212+0j),(-0.16640212613241773-0.08203821705344841j),(0.2901889405098785-0.032819395660027326j),(-0.1502251847500205+0.161246157351636j),(-0.16640212613241773+0.08203821705344841j),(0.160748092435181+0j),(-0.21294076527597325+0.13668657064130796j),(0.054965687841858554-0.18286604831134368j),(0.2901889405098785+0.032819395660027326j),(-0.21294076527597325-0.13668657064130796j),(0.39830636332942004+0j),(-0.2283060912724019+0.19550194605910226j),(-0.1502251847500205-0.161246157351636j),(0.054965687841858554+0.18286604831134368j),(-0.2283060912724019-0.19550194605910226j),(0.22682209109036675+0j),(260+0j),(167+0j),(365+0j),(208+0j),(586+0j),(257+0j),(30+0j),(127+0j),(400+0j),(351+0j),(224+0j),(25+0j),(265+0j),(156+0j),(368+0j),(211+0j),(54+0j),(362+0j),(116+0j),(468+0j),(102+0j),(735+0j),(63+0j),(100+0j),(69+0j),(641+0j),(102+0j),(188+0j),(54+0j),(365+0j),(134+0j),(447+0j),(292+0j),(112+0j),(157+0j),(439+0j),(350+0j),(474+0j),(50+0j),(126+0j),(312+0j),(411+0j),(124+0j),(153+0j),(285+0j),(128+0j),(141+0j),(446+0j),(250+0j),(160+0j),(386+0j),(204+0j),(592+0j),(258+0j),(35+0j),(115+0j),(351+0j),(360+0j),(263+0j),(26+0j),(288+0j),(142+0j),(373+0j),(197+0j)
15,(0.5147168065308422+0j),(-0.07136977067656576-0.13064010549456198j),(0.1922177803536319-0.19150360249050316j),(0.3395971156041918-0.19666069383044854j),(-0.07136977067656576+0.13064010549456198j),(0.04305373566372559+0j),(0.021952871530091997+0.07534030131671787j),(0.002826419318526785+0.11346167618184155j),(0.1922177803536319+0.19150360249050316j),(0.021952871530091997-0.07534030131671787j),(0.14303264225452544+0j),(0.199989263623507+0.052907518536721425j),(0.3395971156041918+0.19666069383044854j),(0.002826419318526785-0.11346167618184155j),(0.199989263623507-0.052907518536721425j),(0.29919681555090694+0j),(477+0j),(67+0j),(172+0j),(284+0j),(521+0j),(196+0j),(143+0j),(140+0j),(504+0j),(77+0j),(147+0j),(272+0j),(508+0j),(66+0j),(162+0j),(264+0j),(245+0j),(299+0j),(408+0j),(48+0j),(544+0j),(135+0j),(52+0j),(269+0j),(423+0j),(170+0j),(215+0j),(192+0j),(245+0j),(313+0j),(395+0j),(47+0j),(406+0j),(152+0j),(173+0j),(269+0j),(518+0j),(189+0j),(78+0j),(215+0j),(220+0j),(372+0j),(371+0j),(37+0j),(374+0j),(174+0j),(203+0j),(249+0j),(514+0j),(81+0j),(148+0j),(257+0j),(525+0j),(184+0j),(140+0j),(151+0j),(517+0j),(98+0j),(156+0j),(229+0j),(500+0j),(79+0j),(167+0j),(254+0j)
16,(0.0832380115040561+0j),(-0.030845626363063122+0.147528777286477j),(0.06946099515695947-0.13967261746544526j),(0.11639772809823956+0.1253457264020543j),(-0.030845626363063122-0.147528777286477j),(0.2729064808601981+0j),(-0.2732921890786469-0.07135209270140425j),(0.17902567173924494-0.2527496941350698j),(0.06946099515695947+0.13967261746544526j),(-0.2732921890786469+0.07135209270140425j),(0.29233362832866344+0j),(-0.11319664533925647+0.29991363073173016j),(0.11639772809823956-0.1253457264020543j),(0.17902567173924494+0.2527496941350698j),(-0.11319664533925647-0.29991363073173016j),(0.3515218793070827+0j),(133+0j),(238+0j),(306+0j),(323+0j),(283+0j),(445+0j),(148+0j),(124+0j),(351+0j),(517+0j),(67+0j),(65+0j),(129+0j),(274+0j),(290+0j),(307+0j),(170+0j),(213+0j),(237+0j),(380+0j),(274+0j),(477+0j),(129+0j),(120+0j),(376+0j),(508+0j),(19+0j),(97+0j),(183+0j),(216+0j),(202+0j),(399+0j),(65+0j),(334+0j),(86+0j),(515+0j),(102+0j),(636+0j),(31+0j),(231+0j),(81+0j),(777+0j),(32+0j),(110+0j),(60+0j),(323+0j),(78+0j),(539+0j),(121+0j),(293+0j),(266+0j),(320+0j),(315+0j),(455+0j),(126+0j),(104+0j),(358+0j),(511+0j),(63+0j),(68+0j),(128+0j),(246+0j),(291+0j),(335+0j)
17,(0.2256883702225132+0j),(-0.1929573977029549+0.14404119393198628j),(0.21430896383480158-0.060504386043022426j),(-0.1063339753547823+0.23638248637754408j),(-0.1929573977029549-0.14404119393198628j),(0.25690478787402143+0j),(-0.22184405833750098-0.08504891112329177j),(0.24177915184775717-0.13423499242986595j),(0.21430896383480158+0.060504386043022426j),(-0.22184405833750098+0.08504891112329177j),(0.21972382831023998+0j),(-0.16434387492694663+0.19595699054544796j),(-0.1063339753547823-0.23638248637754408j),(0.24177915184775717+0.13423499242986595j),(-0.16434387492694663-0.19595699054544796j),(0.29768301359322524+0j),(263+0j),(234+0j),(239+0j),(264+0j),(478+0j),(458+0j),(26+0j),(38+0j),(319+0j),(381+0j),(164+0j),(136+0j),(241+0j),(268+0j),(232+0j),(259+0j),(80+0j),(414+0j),(135+0j),(371+0j),(184+0j),(746+0j),(16+0j),(54+0j),(143+0j),(594+0j),(57+0j),(206+0j),(88+0j),(397+0j),(132+0j),(383+0j),(146+0j),(378+0j),(75+0j),(401+0j),(198+0j),(739+0j),(29+0j),(34+0j),(178+0j),(502+0j),(61+0j),(259+0j),(128+0j),(373+0j),(103+0j),(396+0j),(264+0j),(257+0j),(221+0j),(258+0j),(457+0j),(479+0j),(24+0j),(40+0j),(307+0j),(395+0j),(148+0j),(150+0j),(238+0j),(262+0j),(226+0j),(274+0j)
18,(0.21075085443177113+0j),(0.028464093407062338+0.19832237237898462j),(0.12130645606678009+0.06437116952126042j),(-0.3156479907749532+0.0877519570109605j),(0.028464093407062338-0.19832237237898462j),(0.19047119931136625+0j),(0.07695874539802397-0.10545872864905147j),(0.039945472225205+0.30888528752909983j),(0.12130645606678009-0.06437116952126042j),(0.07695874539802397+0.10545872864905147j),(0.08948435250648963+0j),(-0.15488166400531378+0.14691997014497513j),(-0.3156479907749532-0.0877519570109605j),(0.039945472225205-0.30888528752909983j),(-0.15488166400531378-0.14691997014497513j),(0.5092935937503729+0j),(246+0j),(167+0j),(129+0j),(458+0j),(310+0j),(366+0j),(56+0j),(268+0j),(99+0j),(61+0j),(242+0j),(598+0j),(236+0j),(205+0j),(124+0j),(435+0j),(220+0j),(207+0j),(195+0j),(378+0j),(210+0j),(477+0j),(188+0j),(125+0j),(45+0j),(145+0j),(374+0j),(436+0j),(239+0j),(172+0j),(199+0j),(390+0j),(55+0j),(375+0j),(201+0j),(369+0j),(114+0j),(550+0j),(112+0j),(224+0j),(93+0j),(59+0j),(136+0j),(712+0j),(38+0j),(393+0j),(171+0j),(398+0j),(243+0j),(190+0j),(132+0j),(435+0j),(318+0j),(339+0j),(51+0j),(292+0j),(106+0j),(65+0j),(257+0j),(572+0j),(227+0j),(207+0j),(107+0j),(459+0j)
